path,extension,bytes,category,usage_role
LancsBox/corpora/Climate_Change/HER_2011-01-06000763.txt,.txt,904,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-01-07000760.txt,.txt,311,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-01-07000761.txt,.txt,1629,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-01-08000759.txt,.txt,94,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-01-10000757.txt,.txt,1580,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-01-10000758.txt,.txt,815,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-01-11000754.txt,.txt,1979,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-01-11000755.txt,.txt,1676,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-01-11000756.txt,.txt,768,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-01-12000748.txt,.txt,19,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-01-26000724.txt,.txt,1323,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-02-05000705.txt,.txt,474,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-02-05000706.txt,.txt,705,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-02-05000707.txt,.txt,74,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-02-05000708.txt,.txt,282,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-02-07000703.txt,.txt,455,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-02-07000704.txt,.txt,4023,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-02-09000700.txt,.txt,1970,auxiliary-validation,reference-corpora
